chr19:15778978-15778978	chr19:15917978-15917978
chr20:62030217-62030217	chr20:62559773-62559773
chr16:30273436-30273436	chr16:30365935-30365935
chr11:1007307-1007307	chr11:1017307-1017307
chr4:164753915-164753915	chr4:164534465-164534465
chr12:6308739-6308739	chr12:6438478-6438478
chr10:88801513-88801513	chr10:88811533-88811533
chr2:44028779-44028779	chr2:44175275-44175275
chr8:28630021-28630021	chr8:28574102-28574102
chrX:111585322-111585322	chrX:111698666-111698666
chr19:41523477-41523477	chr19:36831637-36831637
chr9:43789824-43789824	chr9:43849828-43849828
chr1:151150410-151150410	chr1:152883786-152883786
chr10:48034230-48034230	chr10:48414224-48414224
chr7:44123855-44123855	chr7:44157330-44157330
chrX:1497002-1497002	chrX:1537002-1537002
chr19:17803152-17803152	chr19:17942152-17942152
chr13:50933090-50933090	chr13:52035089-52035089
chr3:137635107-137635107	chr3:136152417-136152417
chr19:12742807-12742807	chr19:12881807-12881807
chr7:128202753-128202753	chr7:128415517-128415517
chr2:179290160-179290160	chr2:179581915-179581915
chr9:140126747-140126747	chr9:141006926-141006926
chr15:66805344-66805344	chr15:69018290-69018290
chr4:57567795-57567795	chr4:57873038-57873038
chr15:25933636-25933636	chr15:28260041-28260041
chr8:121329064-121329064	chr8:121259883-121259883
chr1:142220434-142220434	chr1:143378911-143378911
chr13:99601021-99601021	chr13:100803020-100803020
chr14:95776893-95776893	chr14:96707140-96707140
chrX:29845538-29845538	chrX:29935617-29935617
chr16:83471663-83471663	chr16:84914162-84914162
chr1:40541070-40541071	chr1:40768483-40768484
chr17:33167777-33167777	chr17:36093664-36093664
chr1:154104757-154104757	chr1:155838133-155838133
chr1:213915517-213915517	chr1:215848894-215848894
chr19:6701556-6701556	chr19:6750556-6750556
chr15:37673645-37673645	chr15:39886353-39886353
chr3:49027675-49027675	chr3:49052671-49052671
chrX:70240674-70240674	chrX:70323949-70323949
chr2:240630799-240630799	chr2:240982126-240982126
chr8:42291059-42291059	chr8:42171902-42171902
chr5:33198141-33198141	chr5:33162384-33162384
chr7:141598568-141598568	chr7:141952090-141952090
chr9:5912767-5912767	chr9:5922767-5922767
chr14:93902280-93902280	chr14:94832527-94832527
chr5:140601872-140601872	chr5:140621688-140621688
chr10:15878114-15878114	chr10:15838108-15838108
chr12:119059893-119059893	chr12:120575510-120575510
chr16:20580655-20580655	chr16:20673154-20673154
chr1:159427926-159427926	chr1:161161302-161161302
chr22:22436768-22436768	chr22:24106768-24106768
chr6:33490115-33490115	chr6:33382137-33382137
chr16:3596527-3596527	chr16:3656526-3656526
chr1:37938723-37938723	chr1:38166136-38166136
chr11:106552861-106552861	chr11:107047651-107047651
chr12:7696622-7696622	chr12:7805355-7805355
chrX:22929029-22929029	chrX:23019108-23019108
chr7:72281634-72281634	chr7:72643698-72643698
chr1:234972909-234972909	chr1:236906286-236906286
chr2:53987258-53987258	chr2:54133754-54133754
chr7:154493870-154493870	chr7:154862937-154862937
chr17:40312494-40312494	chr17:42956968-42956968
chr5:13976470-13976470	chr5:13923470-13923470
chr12:56252170-56252170	chr12:57965903-57965903
chr3:48707680-48707680	chr3:48732676-48732676
chr16:66543709-66543709	chr16:67986208-67986208
chr19:41013601-41013601	chr19:36321761-36321761
chr1:206273301-206273301	chr1:208206678-208206678
chr1:150594679-150594679	chr1:152328055-152328055
chr19:51135189-51135189	chr19:46443349-46443349
chr6:43508273-43508273	chr6:43400295-43400295
chrX:41439931-41439931	chrX:41554987-41554987
chrX:138697038-138697038	chrX:138869372-138869372
chr6:123144004-123144004	chr6:123102305-123102305
chr2:134930768-134930768	chr2:135214298-135214298
chr21:32989320-32989320	chr21:34067449-34067449
chr11:51268273-51268273	chr11:51411697-51411697
chr5:147787093-147787093	chr5:147806900-147806900
chr19:56941832-56941832	chr19:52250020-52250020
chr7:86254180-86254180	chr7:86416244-86416244
chr5:126798294-126798294	chr5:126770395-126770395
chr16:15716370-15716370	chr16:15808869-15808869
chr17:31352614-31352614	chr17:34328501-34328501
chr11:123799419-123799419	chr11:124294209-124294209
chr20:16296419-16296419	chr20:16348419-16348419
chr10:69718426-69718426	chr10:70048420-70048420
chrX:51256008-51256008	chrX:51239268-51239268
chr1:184542675-184542675	chr1:186276052-186276052
chr7:33394271-33394271	chr7:33427746-33427746
chrX:79715262-79715262	chrX:79828606-79828606
chr11:55503897-55503897	chr11:55747321-55747321
chr6:29338591-29338591	chr6:29230612-29230612
chr22:44337571-44337571	chr22:45958907-45958907
chr7:121820780-121820780	chr7:122033544-122033544
chr15:51016503-51016503	chr15:53229211-53229211
chr19:48821161-48821161	chr19:44129321-44129321
chr3:159847348-159847348	chr3:158364654-158364654
chr19:22291715-22291715	chr19:22499875-22499875
chr8:29095374-29095374	chr8:29039455-29039455
chr14:23615275-23615275	chr14:24545435-24545435
chr10:123832928-123832928	chr10:123842938-123842938
chr11:112726089-112726089	chr11:113220879-113220879
chr19:1229880-1229880	chr19:1278880-1278880
chr10:27575113-27575113	chr10:27535107-27535107
chr19:15420002-15420002	chr19:15559002-15559002
chr14:69704435-69704435	chr14:70634682-70634682
chr12:38931437-38931437	chr12:40645170-40645170
chr9:108729008-108729008	chr9:109689187-109689187
chr4:15127381-15127381	chr4:15518283-15518283
chr1:171819361-171819361	chr1:173552738-173552738
chrMT:2235-2235	NA
chr6:30966777-30966777	chr6:30858798-30858798
chr4:186536264-186536264	chr4:186299270-186299270
chr11:92521397-92521397	chr11:92881749-92881749
chr2:26508279-26508279	chr2:26654775-26654775
chr14:20862739-20862739	chr14:21792899-21792899
chrX:130048281-130048281	chrX:130220600-130220600
chr10:105320700-105320700	chr10:105330710-105330710
chrX:54802029-54802029	chrX:54785304-54785304
chr4:103707253-103707253	chr4:103488217-103488217
chr1:167788597-167788597	chr1:169521973-169521973
chr17:46178167-46178167	chr17:48823168-48823168
chr1:1215537-1215537	chr1:1225674-1225674
chr19:55055089-55055089	chr19:50363277-50363277
chr16:49291259-49291259	chr16:50733758-50733758
chr16:27549895-27549895	chr16:27642394-27642394
chr7:104535078-104535078	chr7:104747842-104747842
chr7:57088338-57088338	chr7:57084396-57084396
chr3:124312501-124312501	chr3:122829811-122829811
chr8:70204723-70204723	chr8:70042169-70042169
chr5:172269295-172269295	chr5:172336689-172336689
chr1:205179213-205179213	chr1:207112590-207112590
chr19:43672720-43672720	chr19:38980880-38980880
chr1:16131305-16131305	chr1:16258718-16258718
chr1:65602977-65602977	chr1:65830389-65830389
chr3:46038347-46038347	chr3:46063343-46063343
chr1:24868559-24868559	chr1:24995972-24995972
chr1:181346337-181346337	chr1:183079714-183079714
chr3:99289235-99289235	chr3:97806545-97806545
chr4:74149454-74149454	chr4:73930590-73930590
chr1:236120022-236120022	chr1:238053399-238053399
chr1:196155912-196155912	chr1:197889289-197889289
chr5:169048875-169048875	chr5:169116297-169116297
chr8:23230486-23230486	chr8:23174541-23174541
chr1:65644380-65644380	chr1:65871792-65871792
chr8:145069771-145069771	chr8:144997783-144997783
chr11:75934680-75934680	chr11:76257032-76257032
chr14:91670436-91670436	chr14:92600683-92600683
chr8:61913228-61913228	chr8:61750674-61750674
chr1:232961753-232961753	chr1:234895130-234895130
chr17:18160434-18160434	chr17:18219709-18219709
chr22:40502081-40502081	chr22:42172135-42172135
chr15:49463356-49463356	chr15:51676064-51676064
chr8:113418198-113418198	chr8:113349022-113349022
chr5:140460967-140460967	chr5:140480783-140480783
chr12:26665409-26665409	chr12:26774142-26774142
chr5:121382897-121382897	chr5:121354998-121354998
chr14:69585360-69585360	chr14:70515607-70515607
chr19:14913271-14913271	chr19:15052271-15052271
chr9:103226954-103226954	chr9:104187133-104187133
chr11:55175090-55175090	chr11:55418514-55418514
chr6:31799692-31799692	chr6:31691713-31691713
chr6:30630940-30630940	chr6:30522961-30522961
chr8:79740992-79740992	chr8:79578437-79578437
chr19:14913654-14913654	chr19:15052654-15052654
chr2:27554518-27554518	chr2:27701014-27701014
chr8:130830025-130830025	chr8:130760843-130760843
chr12:7181847-7181847	chr12:7290580-7290580
chr7:121438751-121438751	chr7:121651515-121651515
chrX:70740710-70740710	chrX:70823985-70823985
chr1:172208270-172208270	chr1:173941647-173941647
chr6:29503321-29503321	chr6:29395342-29395342
chr15:33378280-33378280	chr15:35590988-35590988
chr3:122895356-122895356	chr3:121412666-121412666
chr3:114857247-114857247	chr3:113374557-113374557
chr8:65679876-65679876	chr8:65517322-65517322
chr11:9691629-9691629	chr11:9735053-9735053
chr16:88655376-88655376	chr16:90127875-90127875
chr7:73409670-73409670	chr7:73771734-73771734
chr8:62533549-62533549	chr8:62370995-62370995
chr8:26540648-26540648	chr8:26484731-26484731
chr8:75101614-75101614	chr8:74939060-74939060
chr16:54137215-54137215	chr16:55579714-55579714
chr10:5831741-5831741	chr10:5791735-5791735
chr9:74030496-74030496	chr9:74840676-74840676
chr11:34624790-34624798	chr11:34668214-34668222
chr15:75212582-75212582	chr15:77425527-77425527
chr15:19402758-19402758	chr15:21138099-21138099
chr17:62213461-62213461	chr17:64782999-64782999
chr2:98379770-98379770	chr2:99013338-99013338
chr1:147169930-147169930	chr1:148903306-148903306
