HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
31499	MIR1-1	microRNA 1-1	Approved	MIRN1-1	hsa-mir-1-1	20q13.33		NR_029780	MIR	MicroRNAs	476
31500	MIR1-2	microRNA 1-2	Approved	MIRN1-2	hsa-mir-1-2	18q11.2		NR_029662	MIR	MicroRNAs	476
31487	MIR100	microRNA 100	Approved	MIRN100	hsa-mir-100	11q24.1		NR_029515	MIR	MicroRNAs	476
31488	MIR101-1	microRNA 101-1	Approved	MIRN101-1	hsa-mir-101-1	1p31.3		NR_029516	MIR	MicroRNAs	476
31489	MIR101-2	microRNA 101-2	Approved	MIRN101-2	hsa-mir-101-2	9p24.1		NR_029836	MIR	MicroRNAs	476
31490	MIR103A1	microRNA 103a-1	Approved	MIRN103-1, MIR103-1	hsa-mir-103-1, hsa-mir-103a-1	5q34		NR_029520	MIR	MicroRNAs	476
31491	MIR103A2	microRNA 103a-2	Approved	MIRN103-2, MIR103-2	hsa-mir-103-2, hsa-mir-103a-2	20p13		NR_029519	MIR	MicroRNAs	476
35384	MIR103B1	microRNA 103b-1	Approved	MIRN103-1AS, MIR103-1AS	hsa-mir-103-1-as, hsa-mir-103b-1	5q34		NR_031721	MIR	MicroRNAs	476
35385	MIR103B2	microRNA 103b-2	Approved	MIRN103-2AS, MIR103-2AS	hsa-mir-103-2-as, hsa-mir-103b-2	20p13		NR_031722	MIR	MicroRNAs	476
31492	MIR105-1	microRNA 105-1	Approved	MIRN105-1	hsa-mir-105-1	Xq28		NR_029521	MIR	MicroRNAs	476
31493	MIR105-2	microRNA 105-2	Approved	MIRN105-2	hsa-mir-105-2	Xq28		NR_029522	MIR	MicroRNAs	476
31494	MIR106A	microRNA 106a	Approved	MIRN106A	hsa-mir-106a	Xq26.2		NR_029523	MIR	MicroRNAs	476
31495	MIR106B	microRNA 106b	Approved	MIRN106B	hsa-mir-106b	7q22.1		NR_029831	MIR	MicroRNAs	476
31496	MIR107	microRNA 107	Approved	MIRN107	hsa-mir-107	10q23.31		NR_029524	MIR	MicroRNAs	476
31497	MIR10A	microRNA 10a	Approved	MIRN10A	hsa-mir-10a	17q21.32		NR_029608	MIR	MicroRNAs	476
31498	MIR10B	microRNA 10b	Approved	MIRN10B	hsa-mir-10b	2q31.1		NR_029609	MIR	MicroRNAs	476
35259	MIR1178	microRNA 1178	Approved	MIRN1178	hsa-mir-1178	12q24.23		NR_031589	MIR	MicroRNAs	476
35260	MIR1179	microRNA 1179	Approved	MIRN1179	hsa-mir-1179	15q26.1		NR_031590	MIR	MicroRNAs	476
35261	MIR1180	microRNA 1180	Approved	MIRN1180	hsa-mir-1180	17p11.2		NR_031591	MIR	MicroRNAs	476
35262	MIR1181	microRNA 1181	Approved	MIRN1181	hsa-mir-1181	19p13.2		NR_031592	MIR	MicroRNAs	476
35263	MIR1182	microRNA 1182	Approved	MIRN1182	hsa-mir-1182	1q42.2		NR_031593	MIR	MicroRNAs	476
35264	MIR1183	microRNA 1183	Approved	MIRN1183	hsa-mir-1183	7p15.3		NR_031594	MIR	MicroRNAs	476
35265	MIR1184-1	microRNA 1184-1	Approved	MIRN1184, MIR1184	hsa-mir-1184	Xq28		NR_036049	MIR	MicroRNAs	476
38211	MIR1184-2	microRNA 1184-2	Approved		hsa-mir-1184-2	Xq28		NR_036259	MIR	MicroRNAs	476
38389	MIR1184-3	microRNA 1184-3	Approved		hsa-mir-1184-3	Xq28		NR_036260	MIR	MicroRNAs	476
35257	MIR1185-1	microRNA 1185-1	Approved	MIRN1185-1	hsa-mir-1185-1	14q32.31		NR_031575	MIR	MicroRNAs	476
35254	MIR1185-2	microRNA 1185-2	Approved	MIRN1185-2	hsa-mir-1185-2	14q32.31		NR_031571	MIR	MicroRNAs	476
38247	MIR1193	microRNA 1193	Approved		hsa-mir-1193	14q32.31		NR_036132	MIR	MicroRNAs	476
35376	MIR1197	microRNA 1197	Approved	MIRN1197	hsa-mir-1197	14q32.31		NR_031713	MIR	MicroRNAs	476
50081	MIR1199	microRNA 1199	Approved		hsa-mir-1199	19p13.12		NR_106715	MIR	MicroRNAs	476
35266	MIR1200	microRNA 1200	Approved	MIRN1200	hsa-mir-1200	7p14.2		NR_031604	MIR	MicroRNAs	476
35268	MIR1202	microRNA 1202	Approved	MIRN1202	hsa-mir-1202	6q25.3		NR_031606	MIR	MicroRNAs	476
35269	MIR1203	microRNA 1203	Approved	MIRN1203	hsa-mir-1203	17q21.32		NR_031607	MIR	MicroRNAs	476
37059	MIR1204	microRNA 1204	Approved		hsa-mir-1204	8q24.21		NR_031609	MIR	MicroRNAs	476
35271	MIR1205	microRNA 1205	Approved	MIRN1205	hsa-mir-1205	8q24.21		NR_031610	MIR	MicroRNAs	476
35272	MIR1206	microRNA 1206	Approved	MIRN1206	hsa-mir-1206	8q24.21		NR_031611	MIR	MicroRNAs	476
35273	MIR1207	microRNA 1207	Approved	MIRN1207	hsa-mir-1207	8q24.21		NR_031612	MIR	MicroRNAs	476
35274	MIR1208	microRNA 1208	Approved	MIRN1208	hsa-mir-1208	8q24.21		NR_031613	MIR	MicroRNAs	476
31501	MIR122	microRNA 122	Approved	MIRN122A, MIRN122	hsa-mir-122a, hsa-mir-122	18q21.31		NR_029667	MIR	MicroRNAs	476
33923	MIR1224	microRNA 1224	Approved	MIRN1224	hsa-mir-1224	3q27.1		NR_030410	MIR	MicroRNAs	476
33931	MIR1225	microRNA 1225	Approved	MIRN1225	hsa-mir-1225	16p13.3		NR_030646	MIR	MicroRNAs	476
33922	MIR1226	microRNA 1226	Approved	MIRN1226	hsa-mir-1226	3p21.31		NR_031595	MIR	MicroRNAs	476
33932	MIR1227	microRNA 1227	Approved	MIRN1227	hsa-mir-1227	19p13.3		NR_031596	MIR	MicroRNAs	476
33928	MIR1228	microRNA 1228	Approved	MIRN1228	hsa-mir-1228	12q13.3		NR_031597	MIR	MicroRNAs	476
33924	MIR1229	microRNA 1229	Approved	MIRN1229	hsa-mir-1229	5q35.3		NR_031598	MIR	MicroRNAs	476
33921	MIR1231	microRNA 1231	Approved	MIRN1231	hsa-mir-1231	1q32.1		NR_031599	MIR	MicroRNAs	476
33929	MIR1233-1	microRNA 1233-1	Approved	MIRN1233, MIR1233	hsa-mir-1233	15q14		NR_036050	MIR	MicroRNAs	476
38277	MIR1233-2	microRNA 1233-2	Approved		hsa-mir-1233-2	15q14		NR_036261	MIR	MicroRNAs	476
33926	MIR1234	microRNA 1234	Approved	MIRN1234	hsa-mir-1234	8q24.3		NR_031600	MIR	MicroRNAs	476
33925	MIR1236	microRNA 1236	Approved	MIRN1236	hsa-mir-1236	6p21.33		NR_031601	MIR	MicroRNAs	476
33927	MIR1237	microRNA 1237	Approved	MIRN1237	hsa-mir-1237	11q13.1		NR_031602	MIR	MicroRNAs	476
33933	MIR1238	microRNA 1238	Approved	MIRN1238	hsa-mir-1238	19p13.2		NR_031603	MIR	MicroRNAs	476
31502	MIR124-1	microRNA 124-1	Approved	MIRN124A1, MIRN124-1	hsa-mir-124a-1, hsa-mir-124-1	8p23.1		NR_029668	MIR	MicroRNAs	476
31503	MIR124-2	microRNA 124-2	Approved	MIRN124A2, MIRN124-2	hsa-mir-124a-2, hsa-mir-124-2	8q12.3		NR_029669	MIR	MicroRNAs	476
31504	MIR124-3	microRNA 124-3	Approved	MIRN124A3, MIRN124-3	hsa-mir-124a-3, hsa-mir-124-3	20q13.33		NR_029670	MIR	MicroRNAs	476
35304	MIR1243	microRNA 1243	Approved	MIRN1243	hsa-mir-1243	4q25		NR_031641	MIR	MicroRNAs	476
35310	MIR1244-1	microRNA 1244-1	Approved	MIRN1244, MIR1244	hsa-mir-1244	2q37.1		NR_036052	MIR	MicroRNAs	476
38321	MIR1244-2	microRNA 1244-2	Approved		hsa-mir-1244-2	5q23.1		NR_036262	MIR	MicroRNAs	476
38390	MIR1244-3	microRNA 1244-3	Approved		hsa-mir-1244-3	12p13.31		NR_036263	MIR	MicroRNAs	476
35311	MIR1245A	microRNA 1245a	Approved	MIRN1245, MIR1245	hsa-mir-1245	2q32.2		NR_031647	MIR	MicroRNAs	476
